customer_id,first_name,last_name,gender,email,phone,city,state,country,signup_date
1,Jeffrey,Hopkins,Male,jeffrey.hopkins@gmail.com,8772272699,North James,Michigan,USA,2023-10-28
2,Christine,Benitez,Male,christine.benitez@gmail.com,9837283482,East Noahhaven,Connecticut,USA,2024-01-22
3,Andrea,Stephens,Female,andrea.stephens@gmail.com,7299133549,North Kelly,Georgia,USA,2026-02-15
4,Linda,Daniels,Female,linda.daniels@gmail.com,4737754467,Parkerside,Oregon,USA,2022-10-15
5,Paul,Jackson,Female,paul.jackson@gmail.com,4739107414,Lake Sethtown,Kansas,USA,2025-12-05
6,Gerald,Olsen,Female,gerald.olsen@gmail.com,5482691183,Scottstad,South Dakota,USA,2023-11-08
7,Sara,Green,Female,sara.green@gmail.com,0014939552,Lake Jeffrey,Nevada,USA,2021-09-06
8,Gabrielle,Bruce,Male,gabrielle.bruce@gmail.com,8432815269,Gregoryburgh,Ohio,USA,2024-01-07
9,Linda,Rojas,Male,linda.rojas@gmail.com,1588923660,Parkermouth,Mississippi,USA,2024-12-15
10,Philip,Schroeder,Male,philip.schroeder@gmail.com,1546081819,Adamfurt,Louisiana,USA,2024-12-10
11,Brandon,Smith,Female,brandon.smith@gmail.com,3791582517,Melissaside,Wisconsin,USA,2022-05-08
12,Leslie,Gaines,Male,leslie.gaines@gmail.com,4161596936,North Mary,Tennessee,USA,2025-04-09
13,Beverly,Wilson,Male,beverly.wilson@gmail.com,0222905569,East Patrickberg,Texas,USA,2022-02-02
14,Nicole,Anderson,Male,nicole.anderson@gmail.com,7224928565,West Walter,New Mexico,USA,2022-03-13
15,Timothy,Perez,Male,timothy.perez@gmail.com,1855317998,Alvarezmouth,Kentucky,USA,2025-02-04
16,Gabrielle,Powell,Male,gabrielle.powell@gmail.com,8861568207,South Thomas,Rhode Island,USA,2025-02-02
17,Carol,Johnson,Male,carol.johnson@gmail.com,6092101133,Port Brianna,Missouri,USA,2026-05-10
18,Natalie,Spencer,Male,natalie.spencer@gmail.com,6021744527,Port Jimmy,Delaware,USA,2023-02-23
19,Natalie,Turner,Male,natalie.turner@gmail.com,2966055237,South Nataliestad,Maine,USA,2026-01-10
20,Christine,Ewing,Male,christine.ewing@gmail.com,6421869234,Port Maureenland,New York,USA,2025-01-21
21,Bryan,Wood,Male,bryan.wood@gmail.com,8117858669,Crystalfort,Alabama,USA,2022-03-26
22,Vanessa,Peterson,Female,vanessa.peterson@gmail.com,7428827209,New Benjamin,Georgia,USA,2024-08-19
23,Nicholas,Khan,Female,nicholas.khan@gmail.com,9700678749,South Jennifer,Alaska,USA,2026-04-26
24,Ann,Lopez,Male,ann.lopez@gmail.com,8891030397,Davidton,Washington,USA,2022-07-28
